Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.83,1000,633.5,0.0000,1143,1000
0.83,1000,704.7,0.0000,1143,1000
0.83,1000,687.7,0.0000,1142,1000
0.83,1000,478.2,0.2832,1142,1000
0.84,1000,700.8,0.0000,1143,1000
0.84,1000,693.5,0.0000,1143,1000
0.84,1000,701.9,0.0000,1143,1000
0.84,1000,689.0,0.0000,1143,1000
0.84,1000,706.0,0.0000,1143,1000
0.84,1000,700.4,0.0000,1143,1000
0.84,1000,631.9,0.0000,1143,1000
0.85,1000,688.5,0.0000,1143,1000
0.85,1000,690.9,0.0000,1143,1000
0.85,1000,649.1,0.0000,1143,1000
0.85,1000,658.3,0.0000,1143,1000
0.85,1000,639.2,0.0000,1143,1000
0.85,1000,492.6,0.2795,1143,1000
0.86,1000,694.5,0.0000,1143,1000
0.86,1000,694.0,0.0000,1143,1000
0.86,1000,662.0,0.0000,1143,1000
0.86,1000,650.4,0.0000,1143,1000
0.86,1000,574.0,0.0000,1143,1000
0.86,1000,586.4,0.0000,1143,1000
0.86,1000,633.2,0.0000,1143,1000
0.87,1000,648.7,0.0000,1143,1000
0.87,1000,651.1,0.0000,1143,1000
0.87,1000,659.8,0.0000,1143,1000
0.87,1000,567.2,0.0000,1143,1000
0.87,1000,575.4,0.0000,1143,1000
0.87,1000,471.5,0.2463,1143,1000
0.88,1000,647.3,0.0000,1143,1000
0.88,1000,654.0,0.0000,1143,1000
0.88,1000,635.4,0.0000,1143,1000
0.88,1000,698.3,0.0000,1143,1000
0.88,1000,704.0,0.0000,1143,1000
0.88,1000,688.1,0.0000,1143,1000
0.89,1000,667.0,0.0000,1143,1000
0.89,1000,698.5,0.0000,1143,1000
0.89,1000,692.6,0.0000,1143,1000
0.89,1000,703.5,0.0000,1143,1000
0.89,1000,653.2,0.0000,1143,1000
0.89,1000,690.8,0.0000,1143,1000
0.89,1000,451.0,0.4622,1143,1000
0.90,1000,672.6,0.0000,1144,1000
0.90,1000,689.8,0.0000,1144,1000
0.90,1000,692.0,0.0000,1144,1000
0.90,1000,696.3,0.0000,1144,1000
0.90,1000,692.5,0.0000,1144,1000
0.90,1000,663.4,0.0000,1144,1000
0.91,1000,653.5,0.0000,1143,1000
0.91,1000,641.0,0.0000,1143,1000
0.91,1000,672.4,0.0000,1143,1000
0.91,1000,665.7,0.0000,1143,1000
0.91,1000,528.4,0.0000,1143,1000
0.91,1000,478.7,0.2701,1144,1000
0.92,1000,682.8,0.0000,1144,1000
0.92,1000,691.3,0.0000,1144,1000
0.92,1000,678.7,0.0000,1144,1000
0.92,1000,655.9,0.0000,1144,1000
